,Class ID,Part,Start,Text,Coordinates,Confidence State,Confidence Who,Confidence Prob,Fields,Normalizations,relations
10,e_25,s1v1,7220,"– Allons, amis, demandons à notre hôte s'il sait aussi combattre. Certes, il ne semble point sans courage. Il a des cuisses et des bras et un cou très vigoureux, et il est encore jeune, bien qu'il ait été affaibli par beaucoup de malheurs ; car je pense qu'il n'est rien de pire que la mer pour épuiser un homme, quelque vigoureux qu'il soit.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
11,e_27,s1v1,7286,"Certes, il ne semble point sans courage. Il a des cuisses et des bras et un cou très vigoureux, et il est encore jeune, bien qu'il ait été affaibli par beaucoup de malheurs",[],pre-added,['user:NicolasBovet'],1.0,{},{},
12,e_14,s1v1,7567,Euryalos,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
13,e_25,s1v1,7592,"– Laodamas, tu as bien parlé. Maintenant, va, provoque-le, et rapporte-lui nos paroles.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
14,e_25,s1v1,7784,"– Allons, hôte, mon père, viens tenter nos jeux, si tu y es exercé comme il convient que tu le sois. Il n'y a point de plus grande gloire pour les hommes que celle d'être brave par les pieds et par les bras. Viens donc, et chasse la tristesse de ton âme. Ton retour n'en subira pas un long retard, car déjà ta nef est traînée à la mer et tes compagnons sont prêts à partir.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
15,e_27,s1v1,7992,"Viens donc, et chasse la tristesse de ton âme. Ton retour n'en subira pas un long retard, car déjà ta nef est traînée à la mer et tes compagnons sont prêts à partir",[],pre-added,['user:NicolasBovet'],1.0,{},{},
16,e_14,s1v1,8172,Odysseus,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
17,e_25,s1v1,8199,"Laodamas, pourquoi me provoques-tu à combattre ? Les douleurs remplissent mon âme plus que le désir des jeux. J'ai déjà subi beaucoup de maux et supporté beaucoup de travaux, et maintenant, assis dans votre agora, j'implore mon retour, priant le roi et tout le peuple.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
18,e_6,s1v1,8248,"Les douleurs remplissent mon âme plus que le désir des jeux. J'ai déjà subi beaucoup de maux et supporté beaucoup de travaux, et maintenant, assis dans votre agora, j'implore mon retour, priant le roi et tout le peuple.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
19,e_14,s1v1,8473,Euryalos,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
20,e_25,s1v1,8525,"– Tu parais, mon hôte, ignorer tous les jeux où s'exercent les hommes, et tu ressembles à un chef de matelots marchands qui, sur une nef de charge, n'a souci que de gain et de provisions, plutôt qu'à un athlète.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
21,e_7,s1v1,8528,"u parais, mon hôte, ignorer tous les jeux où s'exercent les hommes, et tu ressembles à un chef de matelots marchands qui, sur une nef de charge, n'a souci que de gain et de provisions, plutôt qu'à un athlète",[],pre-added,['user:NicolasBovet'],1.0,{},{},
22,e_14,s1v1,8752,Odysseus,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
23,e_25,s1v1,8797,"– Mon hôte, tu n'as point parlé convenablement, et tu ressembles à un homme insolent. Les dieux ne dispensent point également leurs dons à tous les hommes, la beauté, la prudence ou l'éloquence. Souvent un homme n'a point de beauté, mais un dieu l'orne par la parole, et tous sont charmés devant lui, car il parle avec assurance et une douce modestie, et il domine l'agora, et, quand il marche par la ville, on le regarde comme un dieu. Un autre est semblable aux dieux par sa beauté, mais il ne lui a point été accordé de bien parler. Ainsi, tu es beau, et un dieu ne t'aurait point formé autrement, mais tu manques d'intelligence, et, comme tu as mal parlé, tu as irrité mon coeur dans ma chère poitrine. Je n'ignore point ces combats, ainsi que tu le dis. J'étais entre les premiers, quand je me confiais dans ma jeunesse et dans la vigueur de mes bras. Maintenant, je suis accablé de misères et de douleurs, ayant subi de nombreux combats parmi les hommes ou en traversant les flots dangereux. Mais, bien que j'aie beaucoup souffert, je tenterai ces jeux, car ta parole m'a mordu, et tu m'as irrité par ce discours.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
24,e_7,s1v1,9457,tu as irrité mon coeur dans ma chère poitrine,[],pre-added,['user:NicolasBovet'],1.0,{},{},
25,e_6,s1v1,9654,"Maintenant, je suis accablé de misères et de douleurs, ayant subi de nombreux combats parmi les hommes ou en traversant les flots dangereux",[],pre-added,['user:NicolasBovet'],1.0,{},{},
26,e_7,s1v1,9882,et tu m'as irrité par ce discours,[],pre-added,['user:NicolasBovet'],1.0,{},{},
27,e_14,s1v1,10372,Athènè,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
28,e_25,s1v1,10470,"– Même un aveugle, mon hôte, pourrait reconnaître ta marque en la touchant, car elle n'est point mêlée à la foule des autres, mais elle est bien au delà. Aie donc confiance, car aucun des Phaiakiens n'atteindra là, loin de te dépasser.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
29,e_27,s1v1,10624,"Aie donc confiance, car aucun des Phaiakiens n'atteindra là, loin de te dépasser",[],pre-added,['user:NicolasBovet'],1.0,{},{},
30,e_14,s1v1,10749,Odysseus,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
31,e_25,s1v1,10889,"– Maintenant, jeunes hommes, atteignez cette pierre. Je pense que je vais bientôt en jeter une autre aussi loin, et même au delà. Mon âme et mon coeur m'excitent à tenter tous les autres combats. Que chacun de vous se fasse ce péril, car vous m'avez grandement irrité. Au ceste, à la lutte, à la course, je ne refuse aucun des Phaiakiens, sauf le seul Laodamas. Il est mon hôte. Qui pourrait combattre un ami ? L'insensé seul et l'homme de nulle valeur le disputent à leur hôte dans les jeux, au milieu d'un peuple étranger, et ils s'avilissent ainsi. Mais je n'en récuse ni n'en repousse aucun autre. Je n'ignore aucun des combats qui se livrent parmi les hommes. Je sais surtout tendre un arc récemment poli, et le premier j'atteindrais un guerrier lançant des traits dans la foule des hommes ennemis, même quand de nombreux compagnons l'entoureraient et tendraient l'arc contre moi. Le seul Philoktètès l'emportait sur moi par son arc, chez le peuple des Troiens, toutes les fois que les Akhaiens lançaient des flèches. Mais je pense être maintenant le plus habile de tous les mortels qui se nourrissent de pain sur la terre. Certes, je ne voudrais point lutter contre les anciens héros, ni contre Héraklès, ni contre Eurytos l'Oikhalien, car ils luttaient, comme archers, même avec les dieux. Le grand Eurytos mourut tout jeune, et il ne vieillit point dans ses demeures. En effet, Apollôn irrité le tua, parce qu'il l'avait provoqué au combat de l'arc. Je lance la pique aussi bien qu'un autre lance une flèche. Seulement, je crains qu'un des Phaiakiens me surpasse à la course, ayant été affaibli par beaucoup de fatigues au milieu des flots, car je ne possédais pas une grande quantité de vivres dans ma nef, et mes chers genoux sont rompus.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
32,e_3,s1v1,11019,Mon âme et mon coeur m'excitent à tenter tous les autres combat,[],pre-added,['user:NicolasBovet'],1.0,{},{},
33,e_27,s1v1,11912,Mais je pense être maintenant le plus habile de tous les mortels qui se nourrissent de pain sur la terre,[],pre-added,['user:NicolasBovet'],1.0,{},{},
34,e_8,s1v1,12406,"Seulement, je crains qu'un des Phaiakiens me surpasse à la course",[],pre-added,['user:NicolasBovet'],1.0,{},{},
35,e_14,s1v1,12692,Alkinoos,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
36,e_25,s1v1,12718,"– Mon hôte, tes paroles me plaisent. Ta force veut prouver la vertu qui te suit partout, étant irrité, car cet homme t'a défié ; mais aucun n'oserait douter de ton courage, si du moins il n'a point perdu le jugement. Maintenant, comprends bien ce que je vais dire, afin que tu parles favorablement de nos héros quand tu prendras tes repas dans tes demeures, auprès de ta femme et de tes enfants, et que tu te souviennes de notre vertu et des travaux dans lesquels Zeus nous a donné d'exceller dès le temps de nos ancêtres. Nous ne sommes point les plus forts au ceste, ni des lutteurs irréprochables, mais nous courons rapidement et nous excellons sur les nefs. Les repas nous sont chers, et la kithare et les danses, et les vêtements renouvelés, les bains chauds et les lits. Allons ! vous qui êtes les meilleurs danseurs Phaiakiens, dansez, afin que notre hôte, de retour dans sa demeure, dise à ses amis combien nous l'emportons sur tous les autres hommes dans la science de la mer, par la légèreté des pieds, à la danse et par le chant. Que quelqu'un apporte aussitôt à Dèmodokos sa kithare sonore qui est restée dans nos demeures.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
37,e_3,s1v1,12720,"Mon hôte, tes paroles me plaisent",[],pre-added,['user:NicolasBovet'],1.0,{},{},
38,e_14,s1v1,15711,Arès,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
39,e_25,s1v1,15781,"– Allons, chère, dormir sur notre lit. Hèphaistos n'est plus ici ; il est allé à Lemnos, chez les Sintiens au langage barbare.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
40,e_14,s1v1,16071,Hèphaistos,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
41,e_25,s1v1,16563,"– Père Zeus, et vous, dieux heureux qui vivez toujours, venez voir des choses honteuses et intolérables. Moi qui suis boiteux, la fille de Zeus, Aphroditè, me déshonore, et elle aime le pernicieux Arès parce qu'il est beau et qu'il ne boite pas. Si je suis laid, certes, je n'en suis pas cause, mais la faute en est à mon père et à ma mère qui n'auraient pas dû m'engendrer. Voyez comme ils sont couchés unis par l'amour. Certes, en les voyant sur ce lit, je suis plein de douleur, mais je ne pense pas qu'ils tentent d'y dormir encore, bien qu'ils s'aiment beaucoup ; et ils ne pourront s'unir, et mon piège et mes liens les retiendront jusqu'à ce que son père m'ait rendu toute la dot que je lui ai livrée à cause de sa fille aux yeux de chien, parce qu'elle était belle.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
42,e_5,s1v1,16565,"Père Zeus, et vous, dieux heureux qui vivez toujours, venez voir des choses honteuses et intolérables",[],pre-added,['user:NicolasBovet'],1.0,{},{},
43,e_6,s1v1,16985,"Certes, en les voyant sur ce lit, je suis plein de douleur",[],pre-added,['user:NicolasBovet'],1.0,{},{},
44,e_14,s1v1,17416,Poseidaôn,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
45,e_14,s1v1,17470,Herméias,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
46,e_14,s1v1,17512,Apollôn,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
47,e_25,s1v1,17806,"– Les actions mauvaises ne valent pas la vertu. Le plus lent a atteint le rapide. Voici que Hèphaistos, bien que boiteux, a saisi, par sa science Arès, qui est le plus rapide de tous les dieux qui habitent l'Olympos, et c'est pourquoi il se fera payer une amende.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
48,e_14,s1v1,18116,Apollôn,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
49,e_25,s1v1,18158,"– Messager Herméias, fils de Zeus, qui dispense les biens, certes, tu voudrais sans doute être enveloppé de ces liens indestructibles, afin de coucher dans ce lit, auprès d'Aphroditè d'or ?",[],pre-added,['user:NicolasBovet'],1.0,{},{},
50,e_14,s1v1,18364,Herméias,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
51,e_25,s1v1,18398,"– Plût aux dieux, ô royal archer Apollôn, que cela arrivât, et que je fusse enveloppé de liens trois fois plus inextricables, et que tous les dieux et les déesses le vissent, pourvu que je fusse couché auprès d'Aphroditè d'or !",[],pre-added,['user:NicolasBovet'],1.0,{},{},
52,e_14,s1v1,18689,Poseidaôn,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
53,e_25,s1v1,18809,"– Délivre-le, et je te promets qu'il te satisfera, ainsi que tu le désires, et comme il convient entre dieux immortels.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
54,e_14,s1v1,18952,Hèphaistos,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
55,e_25,s1v1,18979,"– Poseidaôn qui entoures la terre, ne me demande point cela. Les cautions des mauvais sont mauvaises. Comment pourrais-je te contraindre, parmi les dieux immortels, si Arès échappait à sa dette et à mes liens ?",[],pre-added,['user:NicolasBovet'],1.0,{},{},
56,e_14,s1v1,19194,Poseidaôn,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
57,e_25,s1v1,19241,"– Hèphaistos, si Arès, reniant sa dette, prend la fuite, je te la payerai moi-même.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
58,e_25,s1v1,19379,"– Il ne convient point que je refuse ta parole, et cela ne sera point.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
59,e_14,s1v1,20596,Odysseus,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
60,e_25,s1v1,20624,"– Roi Alkinoos, le plus illustre de tout le peuple, certes, tu m'as annoncé les meilleurs danseurs, et cela est manifeste. L'admiration me saisit en les regardant.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
61,e_3,s1v1,20747,L'admiration me saisit en les regardan,[],pre-added,['user:NicolasBovet'],1.0,{},{},
62,e_14,s1v1,20827,Alkinoos,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
63,e_25,s1v1,20918,"– Écoutez, princes et chefs des Phaiakiens. Notre hôte me semble plein de sagesse. Allons ! Il convient de lui offrir les dons hospitaliers. Douze rois illustres, douze princes, commandent ce peuple, et moi, je suis le treizième. Apportez-lui, chacun, un manteau bien lavé, une tunique et un talent d'or précieux. Et, aussitôt, nous apporterons tous ensemble ces présents, afin que notre hôte, les possédant, siège au repas, l'âme pleine de joie. Et Euryalos l'apaisera par ses paroles, puisqu'il n'a point parlé convenablement.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
64,e_27,s1v1,20962,Notre hôte me semble plein de sagesse,[],pre-added,['user:NicolasBovet'],1.0,{},{},
65,e_3,s1v1,21232,"Et, aussitôt, nous apporterons tous ensemble ces présents, afin que notre hôte, les possédant, siège au repas, l'âme pleine de joie",[],pre-added,['user:NicolasBovet'],1.0,{},{},
66,e_14,s1v1,21562,Euryalos,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
67,e_25,s1v1,21610,"– Roi Alkinoos, le plus illustre de tout le peuple, j'apaiserai notre hôte, comme tu me l'ordonnes, et je lui donnerai cette épée d'airain, dont la poignée est d'argent et dont la gocine est d'ivoire récemment travaillé. Ce don sera digne de notre hôte.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
68,e_27,s1v1,21662,"j'apaiserai notre hôte, comme tu me l'ordonnes",[],pre-added,['user:NicolasBovet'],1.0,{},{},
69,e_25,s1v1,21981,"– Salut, hôte, mon père ! si j'ai dit une parole mauvaise, que les tempêtes l'emportent ! Que les dieux t'accordent de retourner dans ta patrie et de revoir ta femme, car tu as longtemps souffert loin de tes amis.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
70,e_27,s1v1,22071,"Que les dieux t'accordent de retourner dans ta patrie et de revoir ta femme,",[],pre-added,['user:NicolasBovet'],1.0,{},{},
71,e_14,s1v1,22209,Odysseus,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
72,e_25,s1v1,22234,"– Et toi, ami, je te salue. Que les dieux t'accordent tous les biens. Puisses-tu n'avoir jamais le regret de cette épée que tu me donnes en m'apaisant par tes paroles.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
73,e_27,s1v1,22354,que tu me donnes en m'apaisant par tes paroles,[],pre-added,['user:NicolasBovet'],1.0,{},{},
74,e_14,s1v1,22852,Alkinoos,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
75,e_25,s1v1,22877,"– Femme, apporte un beau coffre, le plus beau que tu aies, et tu y renfermeras un manteau bien lavé et une tunique. Qu'on mette un vase sur le feu, et que l'eau chauffe, afin que notre hôte, s'étant baigné, contemple les présents que lui ont apportés les irréprochables Phaiakiens, et qu'il se réjouisse du repas, en écoutant le chant de l'aoide. Et moi, je lui donnerai cette belle coupe d'or, afin qu'il se souvienne de moi tous les jours de sa vie, quand il fera, dans sa demeure, des libations à Zeus et aux autres dieux.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
76,e_3,s1v1,23159,"et qu'il se réjouisse du repas, en écoutant le chant de l'aoide.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
77,e_14,s1v1,23720,Arètè,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
78,e_25,s1v1,23992,"– Vois toi-même ce couvercle, et ferme-le d'un noeud, afin que personne, en route, ne puisse te dérober quelque chose, car tu dormiras peut-être d'un doux sommeil dans la nef noire.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
79,e_14,s1v1,24817,Nausikaa,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
80,e_25,s1v1,24993,"– Salut, mon hôte ! Plaise aux dieux, quand tu seras dans la terre de la patrie, que tu te souviennes de moi à qui tu dois la vie.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
81,e_3,s1v1,25013,"Plaise aux dieux, quand tu seras dans la terre de la patrie",[],pre-added,['user:NicolasBovet'],1.0,{},{},
82,e_14,s1v1,25138,Odysseus,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
83,e_25,s1v1,25163,"– Nausikaa, fille du magnanime Alkinoos, si, maintenant, Zeus, le retentissant époux de Hèrè, m'accorde de voir le jour du retour et de rentrer dans ma demeure, là, certes, comme à une déesse, je t'adresserai des voeux tous les jours de ma vie, car tu m'as sauvé, ô vierge !",[],pre-added,['user:NicolasBovet'],1.0,{},{},
84,e_3,s1v1,25357,"e t'adresserai des voeux tous les jours de ma vie, car tu m'as sauvé, ô vierge",[],pre-added,['user:NicolasBovet'],1.0,{},{},
85,e_25,s1v1,25853,"– Prends, héraut, et offre, afin, qu'il la mange, cette chair à Dèmodokos. Moi aussi je l'aime, quoique je sois affligé. Les aoides sont dignes d'honneur et de respect parmi tous les hommes terrestres, car la Muse leur a enseigné le chant, et elle aime la race des aoides.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
86,e_27,s1v1,25974,Les aoides sont dignes d'honneur et de respect parmi tous les hommes terrestres,[],pre-added,['user:NicolasBovet'],1.0,{},{},
87,e_25,s1v1,26405,"– Dèmodokos, je t'honore plus que tous les hommes mortels, soit que la Muse, fille de Zeus, t'ait instruit, soit Apollôn. Tu as admirablement chanté la destinée des Akhaiens, et tous les maux qu'ils ont endurés, et toutes les fatigues qu'ils ont subies, comme si toi-même avais été présent, ou comme si tu avais tout appris d'un Argien. Mais chante maintenant le cheval de bois qu'Épéios fit avec l'aide d'Athènè, et que le divin Odysseus conduisit par ses ruses dans la citadelle, tout rempli d'hommes qui renversèrent Ilios. Si tu me racontes exactement ces choses, je déclarerai à tous les hommes qu'un dieu t'a doué avec bienveillance du chant divin.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
88,e_6,s1v1,26527,"Tu as admirablement chanté la destinée des Akhaiens, et tous les maux qu'ils ont endurés, et toutes les fatigues qu'ils ont subies",[],pre-added,['user:NicolasBovet'],1.0,{},{},
89,e_14,s1v1,29061,Alkinoos,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|359,364"
90,e_25,s1v1,29221,"– Écoutez, princes et chefs des Phaiakiens, et que Dèmodokos fasse taire sa kithare sonore. Ce qu'il chante ne plaît pas également à tous. Dès le moment où nous avons achevé le repas et où le divin aoide a commencé de chanter, notre hôte n'a point cessé d'être en proie à un deuil cruel, et la douleur a envahi son coeur. Que Dèmodokos cesse donc, afin que, nous et notre hôte, nous soyons tous également satisfaits. Ceci est de beaucoup le plus convenable. Nous avons préparé le retour de notre hôte vénérable et des présents amis que nous lui avons offerts parce que nous l'aimons. Un hôte, un suppliant, est un frère pour tout homme qui peut encore s'attendrir dans l'âme.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
91,e_27,s1v1,29679,Nous avons préparé le retour de notre hôte vénérable et des présents amis que nous lui avons offerts parce que nous l'aimons,[],pre-added,['user:NicolasBovet'],1.0,{},{},
92,e_25,s1v1,29898,"""C'est pourquoi, étranger, ne me cache rien, par ruse, de tout ce que je vais te demander, car il est juste que tu parles sincèrement. Dis-moi comment se nommaient ta mère, ton père, ceux qui habitaient ta ville, et tes voisins. Personne, en effet, parmi les hommes, lâches ou illustres, n'a manqué de nom, depuis qu'il est né. Les parents qui nous ont engendrés nous en ont donné à tous. Dis-moi aussi ta terre natale, ton peuple et ta ville, afin que nos nefs qui pensent t'y conduisent ; car elles n'ont point de pilotes, ni de gouvernails, comme les autres nefs, mais elles pensent comme les hommes, et elles connaissent les villes et les champs fertiles de tous les hommes, et elles traversent rapidement la mer, couvertes de brouillards et de nuées, sans jamais craindre d'être maltraitées ou de périr. Cependant j'ai entendu autrefois mon père Nausithoos dire que Poseidaôn s'irriterait contre nous, parce que nous reconduisons impunément tous les étrangers. Et il disait qu'une solide nef des Phaiakiens périrait au retour d'un voyage sur la mer sombre, et qu'une grande montagne serait suspendue devant notre ville. Ainsi parlait le vieillard. Peut-être ces choses s'accompliront-elles, peut-être n'arriveront-elles point. Ce sera comme il plaira au dieu.",[],pre-added,['user:NicolasBovet'],1.0,{},{},
93,e_27,s1v1,31130,"Ce sera comme il plaira au dieu.""",[],pre-added,['user:NicolasBovet'],1.0,{},{},
94,e_25,s1v1,31164,"""Mais parle, et dis-nous dans quels lieux tu as erré, les pays que tu as vus, et les villes bien peuplées et les hommes, cruels et sauvages, ou justes et hospitaliers et dont l'esprit plaît aux dieux. Dis pourquoi tu pleures en écoutant la destinée des Argiens, des Danaens et d'Ilios ! Les dieux eux-mêmes ont fait ces choses et voulu la mort de tant de guerriers, afin qu'on les chantât dans les jours futurs. Un de tes parents est-il mort devant Ilios ? Était-ce ton gendre illustre ou ton beau-père, ceux qui nous sont le plus chers après notre propre sang ? Est-ce encore un irréprochable compagnon ? Un sage compagnon, en effet, n'est pas moins qu'un frère.""",[],pre-added,['user:NicolasBovet'],1.0,{},{},
0,e_14,s1v1,1293,Aigyptios,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|1293,1301"
1,e_25,s1v1,1402,"– Écoutez maintenant, Ithakèsiens, ce que je vais dire. Nous n'avons jamais réuni l'agora, et nous ne nous y sommes point assis depuis que le divin Odysseus est parti sur ses nefs creuses. Qui nous rassemble ici aujourd'hui ? Quelle nécessité le presse ? Est-ce quelqu'un d'entre les jeunes hommes ou d'entre les vieillards ? A-t-il reçu quelque nouvelle de l'armée, et veut-il nous dire hautement ce qu'il a entendu le premier ? Ou désire-t-il parler de choses qui intéressent tout le peuple ? Il me semble plein de justice. Que Zeus soit propice à son dessein, quel qu'il soit",[],pre-added,['user:NicolasBovet'],1.0,{},{},
2,e_25,s1v1,1404,"Écoutez maintenant, Ithakèsiens, ce que je vais dire. Nous n'avons jamais réuni l'agora, et nous ne nous y sommes point assis depuis que le divin Odysseus est parti sur ses nefs creuses. Qui nous rassemble ici aujourd'hui ? Quelle nécessité le presse ? Est-ce quelqu'un d'entre les jeunes hommes ou d'entre les vieillards ? A-t-il reçu quelque nouvelle de l'armée, et veut-il nous dire hautement ce qu'il a entendu le premier ? Ou désire-t-il parler de choses qui intéressent tout le peuple ? Il me semble plein de justice. Que Zeus soit propice à son dessein, quel qu'il soit",[],pre-added,['user:NicolasBovet'],1.0,{},{},
3,e_27,s1v1,1897,"Il me semble plein de justice. Que Zeus soit propice à son dessein, quel qu'il soit",[],pre-added,['user:NicolasBovet'],1.0,{},{},
4,e_14,s1v1,2177,Peisènôr,[],pre-added,['user:NicolasBovet'],1.0,{},{},"s1v1|e_14|1293,1301"
