,Text,TagTog,Senticnet,PyFeel
37,"et si, pour venger leurs maux, vous les excitez contre moi,",Angry,dislike,angry
38,"Tèlémakhos, agorète orgueilleux et plein de colère, tu as parlé en nous outrageant, et tu veux nous couvrir d'une tache honteuse.",Disgust,grief,angry
39,"Elle parla ainsi, et notre coeur généreux fut aussitôt persuadé",Joy,ecstasy,calmness
40,"J'ai déjà subi beaucoup de maux à cause de mon père, et les dieux m'en enverront d'autres après que ma mère, en quittant ma demeure, aura supplié les odieuses Érinnyes, et ce sont les hommes qui la vengeront.",Sadness,ecstasy,sadness
41,"Mais s'il vous semble meilleur et plus équitable de dévorer impunément la subsistance d'un seul homme, faites",Angry,ecstasy,joy
42,"tu pousses ce jeune homme à la colère,",Angry,enthusiasm,fear
43,"et nous t'infligerons, ô vieillard, une amende que tu déploreras dans ton coeur, la supportant avec peine ; et ta douleur sera accablante",Angry,ecstasy,sadness
44,"car nous ne craignons personne, ni, certes, Tèlémakhos, bien qu'il parle beaucoup ; et nous n'avons nul souci, ô Vieillard, de tes vaines prédictions, et tu ne nous en seras que plus odieux",Calmness,ecstasy,fear
45,"Si j'entends dire qu'il est mort et ne doit plus reparaître, je reviendrai dans la chère terre de la patrie, je lui élèverai un tombeau, je célébrerai d'illustres funérailles, telles qu'il convient, et je donnerai ma mère à un mar",Sadness,ecstasy,sadness
46,"Craignez qu'un roi porte-sceptre ne soit plus jamais ni bienveillant, ni doux, et qu'il ne médite plus de bonnes actions dans son esprit, mais qu'il soit cruel désormais",Fear,terror,sadness
47,"Maintenant, c'est contre tout le peuple que je m'irrite, contre vous qui restez assis en foule et qui n'osez point parler, ni réprimer les prétendants peu nombreux, bien que vous soyez une multitude",Angry,grief,angry
48,"Mentôr, injurieux et stupide, qu'as-tu dit ? Tu nous exhortes à nous retirer !",Angry,enthusiasm,sadness
49,"Tu n'as donc point bien parlé. Allons ! dispersons-nous, et que chacun retourne à ses travaux",Disgust,ecstasy,joy
50,"Et voici que les Akhaiens m'en empêchent, et surtout les orgueilleux prétendants",Angry,ecstasy,angry
51,"Si tu n'étais le fils d'Odysseus et de Pènélopéia, je n'espérerais pas que tu pusses accomplir ce que tu entreprends, car peu de fils sont semblables à leur père",Calmness,grief,joy
52,"Mais tu ne seras ni un lâche, ni un insensé, puisque l'intelligence d'Odysseus est restée en toi, et tu dois espérer accomplir ton dessein",Calmness,disgust,joy
53,"Tèlémakhos, agorète orgueilleux et plein de colère,",Angry,,angry
54,Mange et bois en paix comme auparavant,Calmness,serenity,calmness
55,"Antinoos, il ne m'est plus permis de m'asseoir au festin et de me réjouir en paix avec vous, orgueilleux",Angry,terror,joy
56,"N'est-ce pas assez, prétendants, que vous ayez déjà dévoré mes meilleures richesses, tandis que j'étais enfant ?",Angry,delight,joy
57,et la colère a grandi dans mon coeur.,Angry,ecstasy,fear
58,"Et les prétendants te tendront aussitôt des pièges, et tu périras par ruse, et ils partageront tes biens. Reste donc ici auprès des tiens !",Fear,grief,calmness
59,"Rassure-toi, nourrice ; ce dessein n'est point sans l'avis d'un dieu.",Calmness,ecstasy,fear
60,de peur qu'en pleurant elle blesse son beau corps,Fear,fear,fear
61,"Tèlémakhos, déjà tes compagnons aux belles knèmides sont assis, l'aviron aux mains, prêts à servir ton ardeur",Joy,enthusiasm,calmness
62,"Rustres stupides, qui ne pensez qu'au jour le jour, pourquoi pleurez-vous, misérables, et remuez-vous ainsi dans sa poitrine l'âme de cette femme qui est en proie à la douleur, depuis qu'elle a perdu son cher mari",Angry,ecstasy,sadness
63,"angez en silence, ou' allez pleurer dehors et laissez ici cet arc.",Angry,ecstasy,sadness
64,Et voici que je ris et que je me réjouis dans mon esprit insensé,Joy,joy,calmness
65,"Allons ! vous qui m'êtes supérieurs par la force, essayez cet arc et terminons cette épreuve",Joy,ecstasy,fear
66,"Elle est mauvaise et funeste, et je suis irrité de l'avoir entendue",Angry,enthusiasm,calmness
67,"Cet arc doit priver de leur coeur et de leur âme beaucoup de braves guerriers, parce que tu n'as pu le tendre !",Angry,ecstasy,fear
68,"Plût aux dieux que ce héros revînt et qu'un dieu le ramenât, tu saurais alors à qui appartiendraient ma force et mes bras !",Sadness,ecstasy,fear
69,"Je suis Odysseus. Après avoir souffert des maux innombrables, je reviens dans la vingtième année sur la terre de la patrie",Calmness,ecstasy,calmness
70,"je ressens une grande douleur pour moi et pour tous. Je ne gémis pas seulement à cause de mes noces, bien que j'en sois attristé",Sadness,annoyance,joy
71,"Allons ! que celui qui verse le vin emplisse les coupes, afin que nous fassions des libations, après avoir déposé cet arc",Joy,ecstasy,calmness
72,"Laissez maintenant cet arc, et remettez le reste aux dieux",Calmness,sadness,calmness
73,"Ah ! misérable étranger, ne te reste-t-il plus le moindre sens ? Ne te plaît-il plus de prendre tranquillement ton repas à nos tables ? Es-tu privé de nourriture ? N'entends-tu pas nos paroles ? Jamais aucun autre étranger ou mendiant ne nous a écoutés ainsi",Angry,grief,sadness
74,"Et, l'esprit égaré, il s'en alla, emportant son supplice et son coeur furieux",Angry,joy,angry
75,e te prédis un châtiment aussi grand si tu tends cet arc,Angry,bliss,fear
76,"Antinoos, il n'est ni bon ni juste d'outrager les hôtes de Tèlémakhos, quel que soit celui qui entre dans ses demeures",Calmness,serenity,surprise
77,mais nous craignons la rumeur des hommes et des femmes,Fear,ecstasy,fear
78,"Cet étranger est grand et fort, et il se glorifie d'être d'une bonne race. Donnez-lui donc l'arc d'Odysseus, afin que nous voyions ce qu'il en fera",Calmness,grief,fear
79,"Où portes-tu cet arc, immonde porcher ? vagabond !",Angry,delight,sadness
80,"Père ! porte promptement l'arc plus loin, et n'obéis pas à tout le monde, de peur que, bien que plus jeune que toi, je te chasse à coups de pierres vers tes champs, car je suis le plus fort.",Angry,enthusiasm,fear
81,"Ma vigueur est encore entière, et les prétendants ne me mépriseront plus",Calmness,ecstasy,calmness
82,ttendons au matin et jusqu'à ce que le héros Atréide Ménélaos illustre par sa lance ait placé ses présents dans le char et t'ait renvoyé avec des paroles amies,Calmness,enthusiasm,fear
83,Je m'irrite également contre un homme qui aime ses hôtes outre mesure ou qui les hait,Angry,grief,angry
84,"et je crains, ou de périr en cherchant mon divin père, ou, loin de mes demeures, de perdre mes richesses",Fear,grief,fear
85,De tous mes trésors qui sont enfermés dans ma demeure je te donnerai le plus beau et le plus précieux,Joy,terror,joy
86,"Et moi aussi, cher enfant, je te ferai ce présent,",Joy,ecstasy,joy
87,e puisse dire avec quelle amitié tu m'as reçu,Joy,joy,calmness
88,"Ô divin, ne me conduis pas plus loin que ma nef, mais laisse-moi ici, de peur que le vieillard me retienne malgré moi dans sa demeure,",Fear,terror,fear
89,"Et, certes, il sera très irrité",Angry,serenity,calmness
90,"Laisse-moi monter sur ta nef, puisque je viens en suppliant, de peur qu'ils me tuent, car je pense qu'ils me poursuivent",Fear,ecstasy,fear
91,Suis-moi ; nous t'accueillerons avec amitié et de notre mieux,Calmness,joy,calmness
92,"Hélas ! mon hôte, quel dessein a conçu ton esprit",Angry,acceptance,calmness
93,"Certes, si tu désires te mêler à la foule des prétendants, c'est que tu veux périr",Angry,grief,fear
94,"Plaise aux dieux, Eumaios, que tu sois aussi cher au père Zeus qu'à moi, puisque tu as mis fin à mes courses errantes et à mes peines",Calmness,ecstasy,sadness
95,et la mort de celle-ci l'accable surtout de tristesse et lui fait sentir l'horreur de la vieillesse,Sadness,sadness,sadness
96,"Elle est morte d'une mort lamentable par le regret de son illustre fils. Ainsi, bientôt, mourra ici quiconque m'a aimé. Aussi longtemps qu'elle a vécu, malgré sa douleur, elle aimait à me questionner et à m'interroger",Sadness,grief,sadness
97,"Etranger, puisque tu m'interroges sur ces choses, écoute en silence et réjouis-toi de boire ce vin en repos.",Calmness,grief,joy
98,Je me glorifie d'être de Sidôn riche en airain,Joy,enthusiasm,sadness
99,"Maintenant, qu'aucun de vous, me rencontrant, soit dans la rue, soit à la fontaine, ne me parle, de peur qu'on le dise au vieillard ; car, me soupçonnant, il me chargerait de liens et méditerait votre mort",Angry,sadness,fear
100,"et je restai seul, gémissant dans mon coeur.",Sadness,grief,fear
101,tu as profondément ému mon coeur en me racontant toutes les douleurs que tu as déjà subies,Sadness,ecstasy,calmness
102,"je vous offrirai, pour ce voyage, un bon repas de viandes et de vin doux",Joy,ecstasy,joy
103,"Plaise aux dieux, étranger, que ta parole s'accomplisse",Joy,grief,fear
104,"Nausikaa, pourquoi ta mère t'a-t-elle enfantée si négligente ?",Disgust,ecstasy,sadness
105,"Allons donc laver tes robes, au premier lever du jour, et je te suivrai et t'aiderai, afin que nous finissions promptement, car tu ne seras plus longtemps vierge. Déjà les premiers du peuple te recherchent, parmi tous les Phaiakiens d'où sort ta race. Allons !",Angry,ecstasy,fear
106,"Je ne te refuserai, mon enfant, ni des mulets, ni autre chose. Va, et mes serviteurs te prépareront un char large et élevé propre à porter une charge.",Calmness,ecstasy,fear
107,Hélas ! à quels hommes appartient cette terre où je suis venu ?,Fear,ecstasy,calmness
108,Je m'en assurerai et je verrai.,Calmness,,calmness
109,"Ainsi je t'admire, Ô femme, et je suis stupéfait, et je tremble de saisir tes genoux, car je suis en proie à une grande douleur. Hier, après vingt jours, je me suis enfin échappé de la sombre mer. Pendant ce temps-là, les flots et les rapides tempêtes m'ont entraîné de l'île d'Ogygiè, et voici qu'un dieu m'a poussé ici, afin que j'y subisse encore peut-être d'autres maux, car je ne pense pas en avoir vu la fin, et les dieux vont sans doute m'en accabler de nouveau. Mais, ô reine, aie pitié de moi, car c'est vers toi, la première, que je suis venu, après avoir subi tant de misères.",Sadness,ecstasy,fear
110,"Étranger, car, certes, tu n'es semblable ni à un lâche, ni à un insensé,",Surprise,grief,fear
111,Où fuyez-vous pour avoir vu cet homme ? Pensez-vous que ce soit quelque ennemi ?,Angry,ecstasy,fear
112,"Il n'y a point d'homme vivant, et il ne peut en être un seul qui porte la guerre sur la terre des Phaiakiens, car nous sommes très chers aux dieux immortels, et nous habitons aux extrémités de la mer onduleuse, et nous n'avons aucun commerce avec les autres hommes.",Calmness,grief,fear
113,"Il me semblait d'abord méprisable, et maintenant il est semblable aux dieux qui habitent le large Ouranos.",Surprise,ecstasy,angry
114,"Plût aux dieux qu'un tel homme fût nommé mon mari, qu'il habitât ici et qu'il lui plût d'y rester !",Joy,grief,calmness
115,"Ils parleraient ainsi, et leurs paroles seraient honteuses pour moi. Je blâmerais moi-même celle qui, à l'insu de son cher père et de sa mère, irait seule parmi les hommes avant le jour des noces.",Disgust,ecstasy,sadness
116,"Entends-moi, fille indomptée de Zeus tempêtueux !",Angry,contentment,joy
117,"Exauce-moi maintenant, puisque tu ne m'as point secouru quand l'illustre qui entoure la terre m'accablait. Accorde-moi d'être le bien venu chez les Phaiakiens, et qu'ils aient pitié.",Sadness,ecstasy,joy
118,"Malheureux, qui, vivants, êtes descendus dans la demeure d'Aidès, vous mourrez deux fois, et les autres hommes ne meurent qu'une fois.",Sadness,grief,sadness
119,"Allons ! mangez et buvez pendant tout le jour, jusqu'à la chute de Hèlios ; et, à la lumière naissante, vous naviguerez, et je vous dirai la route, et je vous avertirai de toute chose, de peur que vous subissiez encore des maux cruels sur la mer ou sur la terre.",Calmness,ecstasy,fear
120,"Parle, déesse, et dis-moi la vérité. Si je puis échapper à la désastreuse Kharybdis, ne pourrai-je attaquer Skyllè, quand elle saisira mes compagnons ?",Angry,pleasantness,fear
121,"Malheureux, tu songes donc encore aux travaux de la guerre ? Et tu ne veux pas céder, même aux dieux immortels !",Angry,ecstasy,sadness
122,"Ô amis, il ne faut pas qu'un seul, et même deux seulement d'entre nous, sachent ce que m'a prédit la noble déesse Kirkè ; mais il faut que nous le sachions tous, et je vous le dirai. Nous mourrons après, ou, évitant le danger, nous échapperons à la mort et à la kèr.",Sadness,terror,sadness
123,"Viens, ô illustre Odysseus, grande gloire des Akhaiens. Arrête ta nef, afin d'écouter notre voix. Aucun homme n'a dépassé notre île sur sa nef noire sans écouter notre douce voix ; puis, il s'éloigne, plein de joie, et sachant de nombreuses choses.",Joy,grief,joy
124,"Ô amis, nous n'ignorons pas les maux. N'avons nous pas enduré un mal pire quand le kyklôps nous tenait renfermés dans sa caverne creuse avec une violence horrible ? Mais, alors, par ma vertu, par mon intelligence et ma sagesse, nous lui avons échappé. Je ne pense pas que vous l'ayez oublié. Donc, maintenant, faites ce que je dirai ; obéissez tous. Vous, assis sur les bancs, frappez de vos avirons les flots profonds de la mer ; et toi, pilote, je t'ordonne ceci, retiens-le dans ton esprit, puisque tu tiens le gouvernail de la nef creuse. Dirige-la en dehors de cette fumée et de ce courant, et gagne cet autre écueil. Ne cesse pas d'y tendre avec vigueur, et tu détourneras notre perte",Calmness,terror,fear
125,"Écoutez mes paroles, compagnons, bien qu'accablés de maux, afin que je vous dise les oracles de Teirésias et de Kirkè qui m'a recommandé de fuir promptement l'île de Hèlios qui donne la lumière aux hommes. Elle m'a dit qu'un grand malheur nous menaçait ici. Donc, poussez la nef noire au delà de cette île.",Sadness,grief,fear
126,"Tu es dur pour nous, ô Odysseus ! Ta force est grande, et tes membres ne sont jamais fatigués, et tout te semble de fer. Tu ne veux pas que tes compagnons, chargés de fatigue et de sommeil, descendent à terre, dans cette île entourée des flots où nous aurions préparé un repas abondant ; et tu ordonnes que nous errions à l'aventure, pendant la nuit rapide, loin de cette île, sur la sombre mer !",Angry,grief,fear
127,"Eurylokhos, vous me faites violence, car je suis seul",Angry,sadness,fear
128,"Toutes les morts sont odieuses aux misérables hommes, mais mourir par la faim est tout ce qu'il y a de plus lamentable.",Angry,terror,sadness
129,"Voici que mes compagnons, restés seuls ici, ont commis un grand crime.",Sadness,anxiety,fear
130,Je brûlerai bientôt de la blanche foudre leur nef fracassée au milieu de la sombre mer.,Angry,melancholy,fear
131,"Ah ! combien les hommes accusent les Dieux ! Ils disent que leurs maux viennent de nous, et, seuls, ils aggravent leur destinée par leur démence.",Angry,terror,fear
132,"Ô notre Père, Kronide, le plus haut des Rois ! celui-ci du moins a été frappé d'une mort juste. Qu'il meure ainsi celui qui agira de même ! Mais mon coeur est déchiré au souvenir du brave Odysseus, le malheureux ! qui souffre depuis longtemps loin des siens, dans une île, au milieu de la mer, et où en est le centre.",Sadness,ecstasy,sadness
133,"Et ton cœur n'est point touché, Olympien, par les sacrifices qu'Odysseus accomplissait pour toi auprès des nefs Argiennes, devant la grande Troiè. Zeus, pourquoi donc es-tu si irrité contre lui ?",Angry,ecstasy,angry
134,"Mon enfant, quelle parole s'est échappée d'entre tes dents ? Comment pourrais-je oublier le divin Odysseus, qui, par l'intelligence, est au-dessus de tous les hommes, et qui offrait le plus de sacrifices aux Dieux qui vivent toujours et qui habitent le large Ouranos ?",Angry,ecstasy,joy
135,"Ô notre Père, Kronide, le plus haut des Rois !",Sadness,ecstasy,calmness
136,"Cher Étranger, seras-tu irrité de mes paroles ?",Surprise,grief,sadness
137,Je te dirai des choses sincères.,Calmness,,calmness
138,"Étranger, je te dirai des choses très sincères. Ma mère dit que je suis fils d'Odysseus, mais moi, je n'en sais rien, car nul ne sait par lui-même qui est son père.",Sadness,grief,sadness
139,"Que ne suis-je plutôt le fils de quelque homme heureux qui dût vieillir sur ses domaines ! Et maintenant, on le dit, c'est du plus malheureux des hommes mortels que je suis né, et c'est ce que tu m'as demandé.",Angry,terror,sadness
140,"Les dieux ne t'ont point fait sortir d'une race sans gloire dans la postérité, puisque Pènélopéia t'a enfanté tel que te voilà.",Calmness,ecstasy,sadness
141,"Car ceci n'est point payé en commun, tant ces convives mangent avec insolence et arrogance dans cette demeure ! Tout homme, d'un esprit sensé du moins, s'indignerait de te voir au milieu de ces choses honteuses.",Angry,ecstasy,angry
142,"Étranger, puisque tu m'interroges sur ceci, cette demeure fut autrefois riche et honorée, tant que le héros habita le pays ; mais, aujourd'hui, les dieux, source de nos maux, en ont décidé autrement, et ils ont fait de lui le plus ignoré d'entre tous les hommes. Et je ne le pleurerais point ainsi, même le sachant mort, s'il avait été frappé avec ses compagnons, parmi le peuple des Troiens, ou s'il était mort entre des mains amies, après la guerre.",Angry,grief,sadness
143,"Alors les Panakhaiens lui eussent bâti un tombeau, et il eût légué à son fils une grande gloire dans la postérité. Mais, aujourd'hui, les Harpyes l'ont enlevé obscurément, et il est mort, et nul n'a rien su, ni rien appris de lui, et il ne m'a laissé que les douleurs et les lamentations.",Sadness,grief,sadness
144,"Mais je ne gémis point uniquement sur lui, et les Dieux m'ont envoyé d'autres peines amères.",Angry,ecstasy,calmness
145,"Et ma mère ne peut refuser des noces odieuses ni mettre fin à ceci ; et ces hommes épuisent ma demeure en mangeant, et ils me perdront bientôt aussi.",Angry,terror,sadness
146,"Ah ! sans doute, tu as grand besoin d'Odysseus qui mettrait la main sur ces prétendants injurieux !",Sadness,grief,fear
147,"si donc Odysseus, tel que je le vis, survenait au milieu des prétendants, leur destinée serait brève et leurs noces seraient amères !",Angry,dislike,angry
148,"Mais il appartient aux dieux de décider s'il reviendra, ou non, les punir dans sa demeure. Je t'exhorte donc à chercher comment tu pourras les chasser d'ici.",Calmness,serenity,fear
149,"Il ne faut plus te livrer aux choses enfantines, car tu n'en as plus l'âge. Ne sais-tu pas de quelle gloire s'est couvert le divin Orestès parmi les hommes, en tuant le meurtrier de son père illustre, Aigisthos aux ruses perfides ?",Calmness,terror,calmness
150,"Toi aussi, ami, que voilà grand et beau, sois brave, afin que les hommes futurs te louent.",Joy,ecstasy,calmness
151,"Étranger, tu m'as parlé en ami, comme un père à son fils, et je n'oublierai jamais tes paroles. Mais reste, bien que tu sois pressé, afin que t'étant baigné et ayant charmé ton coeur, tu retournes vers ta nef, plein de joie, avec un présent riche et précieux qui te viendra de moi et sera tel que des amis en offrent à leurs hôtes.",Joy,ecstasy,joy
152,"Ne me retiens plus, il faut que je parte.",Sadness,terror,calmness
153,"Quand je reviendrai, tu me donneras ce présent que ton coeur me destine, afin que je l'emporte dans ma demeure. Qu'il soit fort beau, et que je puisse t'en offrir un semblable.",Joy,ecstasy,joy
154,"Assis au milieu de ceux-ci, chante-leur une de ces choses, tandis qu'ils boivent du vin en silence ; mais cesse ce triste chant qui déchire mon coeur dans ma poitrine, puisque je suis la proie d'un deuil que je ne puis oublier. Car je pleure une tête bien aimée, et je garde le souvenir",Sadness,ecstasy,sadness
155,éternel de l'homme dont la gloire emplit Hellas et Argos,Sadness,delight,sadness
156,"Ma mère, pourquoi défends-tu que ce doux Aoide nous réjouisse, comme son esprit le lui inspire ? Les Aoides ne sont responsables de rien, et Zeus dispense ses dons aux poètes comme il lui plaît. Il ne faut point t'indigner contre celui-ci parce qu'il chante la sombre destinée des Danaens, car les hommes chantent toujours les choses les plus récentes. Aie donc la force d'âme d'écouter.",Angry,grief,sadness
157,"Odysseus n'a point perdu seul, à Troiè, le jour du retour, et beaucoup d'autres y sont morts aussi. Rentre dans ta demeure ; continue tes travaux à l'aide de la toile et du fuseau, et remets tes servantes à leur tâche. La parole appartient aux hommes, et surtout à moi qui commande ici.",Angry,ecstasy,fear
158,"Prétendants de ma mère, qui avez une insolence arrogante, maintenant réjouissons-nous, mangeons et ne poussons point de clameurs, car il est bien et convenable d'écouter un tel Aoide qui est semblable aux Dieux par sa voix ; mais, dès l'aube, rendons-nous tous à l'agora, afin que je vous déclare nettement que vous ayez tous à sortir d'ici. Faites d'autres repas, mangez vos biens en vous recevant tour à tour dans vos demeures ; mais s'il vous paraît meilleur de dévorer impunément la subsistance d'un seul homme, dévorez-la. Moi, je supplierai les Dieux qui vivent toujours, afin que Zeus ordonne que votre action soit punie, et vous périrez peut-être sans vengeance dans cette demeure.",Angry,ecstasy,angry
159,"Tèlémakhos, certes, les Dieux mêmes t'enseignent à parler haut et avec audace ; mais puisse le Kroniôn ne point te faire roi dans Ithakè entourée des flots, bien qu'elle soit ton héritage par ta naissance !",Angry,ecstasy,joy
160,"Antinoos, quand tu t'irriterais contre moi à cause de mes paroles, je voudrais être roi par la volonté de Zeus. Penses-tu qu'il soit mauvais de l'être parmi les hommes ?",Angry,grief,angry
161,"Il n'est point malheureux de régner. On possède une riche demeure, et on est honoré. Mais beaucoup d'autres rois Akhaiens, jeunes et vieux, sont dans Ithakè entourée des flots. Qu'un d'entre eux règne, puisque le divin Odysseus est mort. Moi, du moins, je serai le maître de la demeure et des esclaves que le divin Odysseus a conquis pour moi.",Calmness,ecstasy,sadness
162,"Tèlémakhos, il appartient aux Dieux de décider quel sera l'Akhaien qui régnera dans Ithakè entourée des flots. Pour toi, possède tes biens et commande en ta demeure, et que nul ne te dépouille jamais par violence et contre ton gré, tant que Ithakè sera habitée. Mais je veux, ami, t'interroger sur cet étranger.",Calmness,grief,fear
163,"D'où est-il ? De quelle terre se vante-t-il de sortir ? Où est sa famille ? Où est son pays ? Apporte-t-il quelque nouvelle du retour de ton père ? Est-il venu réclamer une dette ? Il est parti promptement et n'a point daigné se faire connaître. Son aspect, d'ailleurs, n'est point celui d'un misérable",Surprise,ecstasy,sadness
164,"Eurymakhos, certes, mon père ne reviendra plus, et je n'en croirais pas la nouvelle, s'il m'en venait ; et je ne me soucie point des prédictions que ma mère demande au divinateur qu'elle a appelé dans cette demeure.",Calmness,ecstasy,sadness
165,"Mais qui t'accompagnera en portant une lumière, puisque tu ne veux pas que les servantes t'éclairent ?",Fear,serenity,calmness
166,"Ô père, certes, je vois de mes yeux un grand prodige ! Voici que les murs de la demeure, et ses belles poutres, et ses solives de sapin, et ses hautes colonnes, brillent comme un feu ardent.",Joy,ecstasy,fear
167,"Tais-toi, et retiens ton esprit, et ne m'interroge pas.",Calmness,annoyance,calmness
168,"Étranger, te voilà encore qui erres dans la demeure, épiant les femmes ! Sors d'ici, misérable, après t'être rassasié, ou je te frapperai de ce tison !",Disgust,grief,sadness
169,"Malheureuse ! pourquoi m'outrager avec fureur ? Est-ce parce que je suis vêtu de haillons et que je mendie parmi le peuple, comme la nécessité m'y contraint ?",Angry,rage,fear
170,"Et moi aussi, autrefois, j'étais heureux, et j'habitais une riche demeure, et je donnais aux vagabonds, quels qu'ils fussent et quels que fussent leurs besoins. Et j'avais de nombreux serviteurs et tout ce qui rend heureux et fait appeler un homme riche ; mais le Kroniôn Zeus m'a tout enlevé, le voulant ainsi.",Sadness,enthusiasm,joy
171,"Chienne audacieuse, tu ne peux me cacher ton insolence effrontée que tu payeras de ta tête, car tu sais bien, m'ayant entendue toi-même, que je veux, étant très affligée, interroger cet étranger sur mon mari.",Angry,grief,fear
172,"N'emplis pas ainsi mon âme de nouvelles douleurs en me faisant souvenir, car je suis très affligé, et je ne veux pas pleurer et gémir dans une maison étrangère, car il est honteux de pleurer toujours. Peut-être qu'une de tes servantes m'outragerait, ou que tu t'irriterais toi-même, disant que je pleure ainsi ayant l'esprit troublé par le vin.",Sadness,ecstasy,sadness
173,"S'il revenait et gouvernait ma vie, ma gloire serait plus grande et plus belle. Mais, maintenant, je gémis, tant un daimôn funeste m'a accablée de maux.",Sadness,ecstasy,calmness
174,"Et je ne prends plus soin des étrangers, ni des suppliants, ni des hérauts qui agissent en public ; mais je regrette Odysseus et je gémis dans mon cher coeur.",Sadness,terror,sadness
